lineno,rec_type,rec_ver,day,date,start,end,duration,customer,rec_state,comment,remainder
9334,TIME,4.0,Fri,2018-12-14,08.00,18.00,08.00,FireEye,e,COMMENT,
9344,TIME,4.0,Thu,2018-12-13,08.00,18.00,08.00,FireEye,e,COMMENT,
9353,TIME,4.0,Wed,2018-12-12,08.00,18.00,08.00,FireEye,e,COMMENT,
9361,TIME,4.0,Tue,2018-12-11,08.00,18.00,08.00,FireEye,e,COMMENT,
9370,TIME,4.0,Mon,2018-12-10,08.00,18.00,08.00,FireEye,e,COMMENT,
9383,TIME,4.0,Fri,2018-12-07,08.00,18.00,08.00,FireEye,e,COMMENT,
9406,TIME,4.0,Thu,2018-12-06,08.00,18.00,08.00,FireEye,e,COMMENT,
9428,TIME,4.0,Wed,2018-12-05,08.00,18.00,08.00,FireEye,e,COMMENT,
9517,TIME,4.0,Tue,2018-12-04,08.00,18.00,08.00,FireEye,e,COMMENT,
9549,TIME,4.0,Mon,2018-12-03,08.00,18.00,08.00,FireEye,e,COMMENT,
9578,TIME,4.0,Fri,2018-11-30,08.00,18.00,08.00,FireEye,e,COMMENT,
9629,TIME,4.0,Thu,2018-11-29,08.00,18.00,08.00,FireEye,e,COMMENT,
9648,TIME,4.0,Wed,2018-11-28,08.00,18.00,08.00,FireEye,e,COMMENT,
9672,TIME,4.0,Tue,2018-11-27,08.00,18.00,08.00,FireEye,e,COMMENT,
9679,TIME,4.0,Mon,2018-11-26,08.00,18.00,08.00,FireEye,e,COMMENT,
9718,TIME,4.0,Wed,2018-11-21,08.00,18.00,08.00,FireEye,e,COMMENT,
9745,TIME,4.0,Tue,2018-11-20,08.00,18.00,08.00,FireEye,e,COMMENT,
9768,TIME,4.0,Mon,2018-11-19,08.00,18.00,08.00,FireEye,e,COMMENT,
9810,TIME,4.0,Fri,2018-11-16,08.00,18.00,08.00,FireEye,e,COMMENT,
9850,TIME,4.0,Thu,2018-11-15,08.00,18.00,08.00,FireEye,e,COMMENT,
9869,TIME,4.0,Wed,2018-11-14,08.00,18.00,08.00,FireEye,e,COMMENT,
9918,TIME,4.0,Tue,2018-11-13,08.00,18.00,08.00,FireEye,e,COMMENT,
9941,TIME,4.0,Mon,2018-11-12,08.00,18.00,08.00,FireEye,e,COMMENT,
9948,TIME,4.0,Fri,2018-11-09,08.00,18.00,08.00,FireEye,e,COMMENT,
9955,TIME,4.0,Tue,2018-11-08,08.00,18.00,08.00,FireEye,e,COMMENT,
10046,TIME,4.0,Fri,2018-11-02,08.00,18.00,08.00,FireEye,e,COMMENT,
10071,TIME,4.0,Thu,2018-11-01,08.00,18.00,08.00,FireEye,new,COMMENT,
